brand,series,type,power,cool_kw,cspf,cert_no
台光電,AF,ACV-028AFH,561,2.8,5.93,ACN-107-0944
台光電,AF,ACV-023AF,457,2.3,5.98,ACN-106-3314
台光電,AF,ACV-072AF,1673,7.2,5.11,ACN-106-3326
台光電,HD,ACM-085HD,1976,8.5,5.11,ACN-107-1445
台光電,SG,ACV-0140SG,3289,14,5.06,ACN-109-1098
台光電,HD,ACV-050HD,1105,5,5.38,ACN-106-0118
台光電,SG,ACV-0101SG,2363,10.1,5.08,ACN-109-1091
台光電,AF,ACV-028AFH-C,549,2.8,6.06,ACN-106-3315
台光電,HD,ACM-0105HD,2483,10.5,5.03,ACN-107-1441
台光電,HD,ACM-120HD,3071,13,5.03,ACN-107-1442
台光電,AF,ACV-050AFH,1114,5,5.33,ACN-106-3321
台光電,RN,ACV-065RN,1373,6.5,5.62,ACN-109-0764
台光電,SG,ACV-0160SG-H,3728,16,5.1,ACN-109-1093
台光電,AF,ACV-023AFH,457,2.3,5.98,ACN-106-3313
台光電,AF,ACV-028AF,561,2.8,5.93,ACN-107-0943
台光電,HD,ACM-063HD,1449,6.5,5.33,ACN-107-1443
台光電,HD,ACV-028HD,561,2.8,5.93,ACN-105-1434
台光電,HD,ACV-041HD,902,4.1,5.4,ACN-105-1436
詮寶,AF,AUV-63F,1404,6.3,5.33,ACN-106-3423
詮寶,AF,AUV-72HF,1673,7.2,5.11,ACN-106-3424
詮寶,HD,AUV-50HD2,1159,5.2,5.33,ACN-107-1438
詮寶,RN,AUV-38RN,752,3.8,6.01,ACN-109-0684
詮寶,,AUV-41HP,895,4.1,5.44,ACN-108-0303
詮寶,AF,AUV-36HF,719,3.6,5.95,ACN-106-3416
詮寶,AF,AUV-72F,1673,7.2,5.11,ACN-106-3425
