項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
201,大岩空調有限公司,DHO-72KMVC,5.36,1,7.20,2.06,一對一分離式
202,大岩空調有限公司,YMTO-140ZV,5.03,1,14.00,4.20,一對一分離式
203,大岩空調有限公司,DHO-85KMVHS,5.14,1,8.50,2.60,一對一分離式
204,大岩空調有限公司,DHO-853KMVC,5.11,1,9.40,3.00,多管型系列組合分離式
205,大岩空調有限公司,YMTO-50ZVH,5.33,1,5.00,1.20,一對一分離式
206,大岩空調有限公司,DHO-145KMVH,5.04,1,14.00,4.40,一對一分離式
207,大岩空調有限公司,DHO-65KMVH,5.35,1,6.50,1.77,一對一分離式
208,大岩空調有限公司,DHO-145KMVC,5.04,1,14.00,4.40,一對一分離式
209,大岩空調有限公司,DHO-65KMVC,5.35,1,6.50,1.77,一對一分離式
210,大岩空調有限公司,DHO-85KMVH,5.12,1,8.50,2.50,一對一分離式
211,大岩空調有限公司,DHO-28KMVC,5.94,1,2.80,0.73,一對一分離式
212,大岩空調有限公司,DHO-100KMVHS,5.04,1,10.10,3.45,一對一分離式
213,大岩空調有限公司,DHO-112KMVH,5.04,1,11.20,3.30,一對一分離式
214,大岩空調有限公司,DHO-853KMVH,5.11,1,9.40,3.00,多管型系列組合分離式
215,大岩空調有限公司,DHO-652KMVC,5.11,1,7.20,2.25,多管型系列組合分離式
216,大岩空調有限公司,DHO-41KMVHS,5.35,1,4.10,1.12,一對一分離式
217,大岩空調有限公司,YMTO-50ZVHA,5.33,1,5.00,1.20,一對一分離式
218,大岩空調有限公司,DHO-112KMVC,5.04,1,11.20,3.30,一對一分離式
219,中淶貿易有限公司,TAG-30CYO,6.29,1,3.00,0.65,一對一分離式
220,中淶貿易有限公司,TAG-36GWO,5.94,1,3.60,0.89,一對一分離式
221,中淶貿易有限公司,TAG-28GWO,5.94,1,2.80,0.67,一對一分離式
222,中淶貿易有限公司,TAG-50GWO,5.35,1,5.00,1.39,一對一分離式
223,中淶貿易有限公司,TAG-M36GWO,5.94,1,3.60,0.89,一對一分離式
224,中淶貿易有限公司,TAG-M50GWO,5.35,1,5.00,1.39,一對一分離式
225,中淶貿易有限公司,TAG-M28GWO,5.94,1,2.80,0.67,一對一分離式
226,中淶貿易有限公司,TAG-42CYO,5.49,1,4.20,1.07,一對一分離式
227,中淶貿易有限公司,TAG-51CYO ,5.38,1,5.10,1.34,一對一分離式
228,天下冷氣有限公司,TDV-14AH,5.44,1,4.10,1.08,一對一分離式
229,天下冷氣有限公司,TCN-50AH,5.04,1,14.00,4.40,一對一分離式
230,天下冷氣有限公司,TCN-23AH,5.35,1,6.50,1.77,一對一分離式
231,天下冷氣有限公司,TDV-30AH,5.11,1,8.30,2.61,一對一分離式
232,天下冷氣有限公司,TDA-10AH,5.94,1,2.80,0.64,一對一分離式
233,天下冷氣有限公司,TCN-18A,5.34,1,5.00,1.29,一對一分離式
234,天下冷氣有限公司,TCN-28AHS,5.12,1,8.00,2.35,一對一分離式
235,天下冷氣有限公司,TCN-13AHS,5.95,1,3.60,0.95,一對一分離式
236,天下冷氣有限公司,TDV-18AH,5.38,1,5.00,1.40,一對一分離式
237,天下冷氣有限公司,TDV-25AH,5.14,1,7.20,2.22,一對一分離式
238,天下冷氣有限公司,TCN-10AGH,5.94,1,2.80,0.73,一對一分離式
239,天下冷氣有限公司,TDA-50A,5.03,1,14.00,4.20,一對一分離式
240,天下冷氣有限公司,TCN-10AG,5.94,1,2.80,0.73,一對一分離式
241,天下冷氣有限公司,TCN-30AHS,5.14,1,8.50,2.60,一對一分離式
242,天下冷氣有限公司,TCN-26AHS,5.12,1,7.20,2.10,一對一分離式
243,天下冷氣有限公司,TCN-36AHS,5.04,1,10.10,3.45,一對一分離式
244,天下冷氣有限公司,TDA-18AH,5.33,1,5.00,1.20,一對一分離式
245,天下冷氣有限公司,TCN-10A,5.94,1,2.80,0.73,一對一分離式
246,天下冷氣有限公司,TCN-50A,5.04,1,14.00,4.40,一對一分離式
247,天下冷氣有限公司,TDV-36AH,5.11,1,9.00,2.96,一對一分離式
248,天下冷氣有限公司,TCN-10AH,5.94,1,2.80,0.73,一對一分離式
249,天下冷氣有限公司,TCN-23A,5.35,1,6.50,1.77,一對一分離式
250,天下冷氣有限公司,TCN-10AHS,5.94,1,2.80,0.65,一對一分離式
251,天下冷氣有限公司,TDA-25AH,5.12,1,7.30,2.05,一對一分離式
252,天下冷氣有限公司,TCN-14AHS,5.35,1,4.10,1.12,一對一分離式
253,天下冷氣有限公司,TCN-32AHS,5.12,1,9.00,2.70,一對一分離式
