項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
309,台光電科技股份有限公司,ACV-085HD,5.18,1,8.50,2.15,一對一分離式
310,台光電科技股份有限公司,ACV-028P,6.09,1,2.80,0.67,一對一分離式
311,台光電科技股份有限公司,ACV-036HD,5.94,1,3.60,0.82,一對一分離式
312,台光電科技股份有限公司,ACV-041AF,5.44,1,4.10,1.05,一對一分離式
313,台光電科技股份有限公司,ACV-0112SG,5.03,1,11.20,3.51,一對一分離式
314,台光電科技股份有限公司,ACV-063AFH,5.33,1,6.30,1.78,一對一分離式
315,台光電科技股份有限公司,ACV-0112SG-H,5.03,1,11.20,3.51,一對一分離式
316,台光電科技股份有限公司,ACV-036AFH,5.95,1,3.60,0.85,一對一分離式
317,台光電科技股份有限公司,ACV-063AF,5.33,1,6.30,1.78,一對一分離式
318,台光電科技股份有限公司,ACM-050HD,5.33,1,5.20,1.48,多管型系列組合分離式
319,台光電科技股份有限公司,ACM-072HD,5.11,1,7.40,2.12,多管型系列組合分離式
320,台光電科技股份有限公司,ACV-036AF,5.95,1,3.60,0.85,一對一分離式
321,台光電科技股份有限公司,ACV-0140SG-H,5.06,1,14.00,4.21,一對一分離式
322,台光電科技股份有限公司,ACV-042RN,5.45,1,4.20,1.23,一對一分離式
323,台光電科技股份有限公司,ACV-050RN,5.87,1,5.00,1.37,一對一分離式
324,台光電科技股份有限公司,ACV-041AFH,5.44,1,4.10,1.05,一對一分離式
325,台光電科技股份有限公司,ACV-072P,5.14,1,7.20,2.22,一對一分離式
326,台光電科技股份有限公司,ACV-073RN,5.51,1,7.30,2.03,一對一分離式
327,台光電科技股份有限公司,ACV-050P,5.38,1,5.00,1.40,一對一分離式
328,台光電科技股份有限公司,ACV-038RN,6.01,1,3.80,1.01,一對一分離式
329,台光電科技股份有限公司,ACV-0160SG,5.10,1,16.00,4.59,一對一分離式
330,台光電科技股份有限公司,ACV-0101SG-H,5.08,1,10.10,3.10,一對一分離式
331,台光電科技股份有限公司,ACV-072HD,5.12,1,7.20,2.00,一對一分離式
332,台光電科技股份有限公司,ACV-050AF,5.33,1,5.00,1.37,一對一分離式
333,台光電科技股份有限公司,ACV-028RN,6.02,1,2.80,0.64,一對一分離式
334,台光電科技股份有限公司,ACV-090P,5.11,1,9.00,2.96,一對一分離式
335,台光電科技股份有限公司,ACV-028AF-C,6.06,1,2.80,0.61,一對一分離式
336,台光電科技股份有限公司,ACV-072AFH,5.11,1,7.20,2.21,一對一分離式
337,台光電科技股份有限公司,ACV-085RN,5.33,1,8.50,2.27,一對一分離式
338,台光電科技股份有限公司,ACV-041P,5.44,1,4.10,1.08,一對一分離式
339,台光電科技股份有限公司,ACV-083P,5.11,1,8.30,2.61,一對一分離式
340,台光電科技股份有限公司,ACV-028AFH,5.93,1,2.80,0.61,一對一分離式
341,台光電科技股份有限公司,ACV-023AF,5.98,1,2.30,0.50,一對一分離式
342,台光電科技股份有限公司,ACV-072AF,5.11,1,7.20,2.21,一對一分離式
343,台光電科技股份有限公司,ACM-085HD,5.11,1,8.50,2.21,多管型系列組合分離式
344,台光電科技股份有限公司,ACV-0140SG,5.06,1,14.00,4.21,一對一分離式
345,台光電科技股份有限公司,ACV-050HD,5.38,1,5.00,1.40,一對一分離式
346,台光電科技股份有限公司,ACV-0101SG,5.08,1,10.10,3.10,一對一分離式
347,台光電科技股份有限公司,ACV-028AFH-C,6.06,1,2.80,0.61,一對一分離式
348,台光電科技股份有限公司,ACM-0105HD,5.03,1,10.50,3.28,多管型系列組合分離式
349,台光電科技股份有限公司,ACM-120HD,5.03,1,13.00,4.43,多管型系列組合分離式
350,台光電科技股份有限公司,ACV-050AFH,5.33,1,5.00,1.37,一對一分離式
351,台光電科技股份有限公司,ACV-065RN,5.62,1,6.50,1.58,一對一分離式
352,台光電科技股份有限公司,ACV-0160SG-H,5.10,1,16.00,4.59,一對一分離式
353,台光電科技股份有限公司,ACV-023AFH,5.98,1,2.30,0.50,一對一分離式
354,台光電科技股份有限公司,ACV-028AF,5.93,1,2.80,0.61,一對一分離式
355,台光電科技股份有限公司,ACM-063HD,5.33,1,6.50,1.79,多管型系列組合分離式
356,台光電科技股份有限公司,ACV-028HD,5.93,1,2.80,0.66,一對一分離式
357,台光電科技股份有限公司,ACV-041HD,5.40,1,4.10,1.08,一對一分離式
358,台灣三洋電機股份有限公司,SAC-28VH6,5.93,1,2.80,0.65,一對一分離式
359,台灣三洋電機股份有限公司,SAC-63VH6,5.33,1,6.30,1.79,一對一分離式
360,台灣三洋電機股份有限公司,SAC-XV105HF,5.03,1,10.50,3.28,多管型系列組合分離式
361,台灣三洋電機股份有限公司,SAC-36VH7A,5.93,1,3.60,0.95,一對一分離式
362,台灣三洋電機股份有限公司,SAC-110VH7,5.03,1,11.00,3.55,一對一分離式
363,台灣三洋電機股份有限公司,SA-L60VE,4.16,1,6.00,1.92,單體式
364,台灣三洋電機股份有限公司,SA-R50VE1,4.16,1,5.00,1.56,單體式
365,台灣三洋電機股份有限公司,SAC-BV72HF,5.11,1,7.40,2.12,多管型系列組合分離式
366,台灣三洋電機股份有限公司,SAC-50VH7,5.33,1,5.00,1.38,一對一分離式
367,台灣三洋電機股份有限公司,SAC-41VH6,5.33,1,4.10,1.05,一對一分離式
368,台灣三洋電機股份有限公司,SAC-72V7A,5.11,1,7.20,2.17,一對一分離式
369,台灣三洋電機股份有限公司,SAC-XV130HF,5.03,1,13.00,4.43,多管型系列組合分離式
370,台灣三洋電機股份有限公司,SAC-28VH7A,5.93,1,2.80,0.65,一對一分離式
371,台灣三洋電機股份有限公司,SAC-86V7,5.11,1,8.60,2.68,一對一分離式
372,台灣三洋電機股份有限公司,SAC-63V6,5.33,1,6.30,1.79,一對一分離式
373,台灣三洋電機股份有限公司,SAC-B45VH6,5.33,1,4.40,1.10,多管型固定組合分離式
374,台灣三洋電機股份有限公司,SAC-V22HF,5.93,1,2.30,0.51,一對一分離式
375,台灣三洋電機股份有限公司,SAC-28V7,5.93,1,2.80,0.65,一對一分離式
376,台灣三洋電機股份有限公司,SAC-V36HF,5.93,1,3.60,0.80,一對一分離式
377,台灣三洋電機股份有限公司,SAC-V41HF,5.33,1,4.10,1.00,一對一分離式
378,台灣三洋電機股份有限公司,SAC-41V6,5.33,1,4.10,1.05,一對一分離式
379,台灣三洋電機股份有限公司,SAC-63V7,5.33,1,6.30,1.79,一對一分離式
380,台灣三洋電機股份有限公司,SAC-28V6,5.93,1,2.80,0.65,一對一分離式
381,台灣三洋電機股份有限公司,SAC-50V6,5.33,1,5.00,1.27,一對一分離式
382,台灣三洋電機股份有限公司,SAC-BV52HF,5.33,1,5.20,1.48,多管型系列組合分離式
383,台灣三洋電機股份有限公司,SAC-72VH7A,5.11,1,7.20,2.17,一對一分離式
384,台灣三洋電機股份有限公司,SAC-36V7,5.93,1,3.60,0.95,一對一分離式
385,台灣三洋電機股份有限公司,SAC-36V6,5.93,1,3.60,0.86,一對一分離式
386,台灣三洋電機股份有限公司,SAC-V28HF,5.93,1,2.80,0.64,一對一分離式
387,台灣三洋電機股份有限公司,SA-R60VE,4.16,1,6.00,1.92,單體式
388,台灣三洋電機股份有限公司,SAC-36VH6,5.93,1,3.60,0.86,一對一分離式
389,台灣三洋電機股份有限公司,SAC-72VH6,5.11,1,7.20,2.17,一對一分離式
390,台灣三洋電機股份有限公司,SAC-B56V6,5.33,1,5.60,1.43,多管型固定組合分離式
391,台灣三洋電機股份有限公司,SA-L50VE1,4.16,1,5.00,1.56,單體式
392,台灣三洋電機股份有限公司,SAC-B72V6,5.11,1,7.20,1.77,多管型系列組合分離式
393,台灣三洋電機股份有限公司,SAC-41V7,5.33,1,4.10,1.21,一對一分離式
394,台灣三洋電機股份有限公司,SAC-63V7A,5.33,1,6.30,1.79,一對一分離式
395,台灣三洋電機股份有限公司,SAC-V28HK,5.93,1,2.80,0.64,一對一分離式
396,台灣三洋電機股份有限公司,SAC-V28F,5.93,1,2.80,0.64,一對一分離式
397,台灣三洋電機股份有限公司,SAC-V50F,5.33,1,5.00,1.30,一對一分離式
398,台灣三洋電機股份有限公司,SAC-B45V6,5.33,1,4.40,1.10,多管型固定組合分離式
399,台灣三洋電機股份有限公司,SAC-86VH7,5.11,1,8.60,2.68,一對一分離式
400,台灣三洋電機股份有限公司,SAC-V74HF,5.11,1,7.40,2.04,一對一分離式
401,台灣三洋電機股份有限公司,SAC-V74F,5.11,1,7.40,2.04,一對一分離式
402,台灣三洋電機股份有限公司,SAC-41VH7A,5.33,1,4.10,1.21,一對一分離式
403,台灣三洋電機股份有限公司,SAC-63VH7A,5.33,1,6.30,1.79,一對一分離式
404,台灣三洋電機股份有限公司,SAC-X130V6,5.03,1,13.00,3.80,多管型系列組合分離式
405,台灣三洋電機股份有限公司,SAC-72VH7,5.11,1,7.20,2.17,一對一分離式
406,台灣三洋電機股份有限公司,SA-R41VSE,4.16,1,4.10,1.28,單體式
407,台灣三洋電機股份有限公司,SAC-B72VH6,5.11,1,7.20,1.77,多管型系列組合分離式
408,台灣三洋電機股份有限公司,SA-R60VSE,4.16,1,6.00,2.05,單體式
409,台灣三洋電機股份有限公司,SAC-V22F,5.93,1,2.30,0.51,一對一分離式
410,台灣三洋電機股份有限公司,SAC-28V7A,5.93,1,2.80,0.65,一對一分離式
411,台灣三洋電機股份有限公司,SAC-36V7A,5.93,1,3.60,0.95,一對一分離式
412,台灣三洋電機股份有限公司,SAC-X72V6,5.11,1,7.20,1.77,多管型系列組合分離式
413,台灣三洋電機股份有限公司,SAC-50V7,5.33,1,5.00,1.38,一對一分離式
414,台灣三洋電機股份有限公司,SAC-V41F,5.33,1,4.10,1.00,一對一分離式
415,台灣三洋電機股份有限公司,SAC-41V7A,5.33,1,4.10,1.21,一對一分離式
416,台灣三洋電機股份有限公司,SAC-36VH7,5.93,1,3.60,0.95,一對一分離式
417,台灣三洋電機股份有限公司,SAC-63VH7,5.33,1,6.30,1.79,一對一分離式
418,台灣三洋電機股份有限公司,SAC-50VH7A,5.33,1,5.00,1.38,一對一分離式
419,台灣三洋電機股份有限公司,SAC-BV65HF,5.33,1,6.50,1.79,多管型系列組合分離式
420,台灣三洋電機股份有限公司,SAC-V86HF,5.11,1,8.60,2.30,一對一分離式
421,台灣三洋電機股份有限公司,SA-R41VE1,4.16,1,4.10,1.27,單體式
422,台灣三洋電機股份有限公司,SA-L50VSE,4.16,1,5.00,1.56,單體式
423,台灣三洋電機股份有限公司,SAC-XV84HF,5.11,1,8.40,2.26,多管型系列組合分離式
424,台灣三洋電機股份有限公司,SAC-V41HFA,5.33,1,4.10,1.00,一對一分離式
425,台灣三洋電機股份有限公司,SA-R50VSE,4.16,1,5.00,1.56,單體式
426,台灣三洋電機股份有限公司,SAC-V36F,5.93,1,3.60,0.80,一對一分離式
427,台灣三洋電機股份有限公司,SAC-B56VH6,5.33,1,5.60,1.43,多管型固定組合分離式
428,台灣三洋電機股份有限公司,SAC-V140F,5.03,1,14.00,4.20,一對一分離式
429,台灣三洋電機股份有限公司,SAC-V41FA,5.33,1,4.10,1.00,一對一分離式
430,台灣三洋電機股份有限公司,SAC-28VH7,5.93,1,2.80,0.65,一對一分離式
431,台灣三洋電機股份有限公司,SAC-41VH7,5.33,1,4.10,1.21,一對一分離式
432,台灣三洋電機股份有限公司,SAC-50VH6,5.33,1,5.00,1.27,一對一分離式
433,台灣三洋電機股份有限公司,SAC-X72VH6,5.11,1,7.20,1.77,多管型系列組合分離式
434,台灣三洋電機股份有限公司,SAC-50V7A,5.33,1,5.00,1.38,一對一分離式
435,台灣三洋電機股份有限公司,SAC-V86F,5.11,1,8.60,2.30,一對一分離式
436,台灣三洋電機股份有限公司,SAC-X130VH6,5.03,1,13.00,3.80,多管型系列組合分離式
437,台灣三洋電機股份有限公司,SA-L41VSE,4.16,1,4.10,1.28,單體式
438,台灣三洋電機股份有限公司,SA-L60VSE,4.16,1,6.00,2.05,單體式
439,台灣三洋電機股份有限公司,SAC-72V7,5.11,1,7.20,2.17,一對一分離式
440,台灣三洋電機股份有限公司,SA-L41VE1,4.16,1,4.10,1.27,單體式
441,台灣三洋電機股份有限公司,SAC-72V6,5.11,1,7.20,2.17,一對一分離式
442,台灣三洋電機股份有限公司,SAC-V50HF,5.33,1,5.00,1.30,一對一分離式
443,台灣三菱電機股份有限公司,MUY-GE71NA,5.37,1,6.60,1.80,一對一分離式
444,台灣三菱電機股份有限公司,PUHY-P250YKAT-BS,5.48,1,28.00,8.35,幹管型系列組合分離式
445,台灣三菱電機股份有限公司,MUY-HS60NF,5.54,1,6.00,1.63,一對一分離式
446,台灣三菱電機股份有限公司,MXZ-8C140NAM,5.74,1,14.00,3.48,多管型系列組合分離式
447,台灣三菱電機股份有限公司,MXZ-5C100NA,5.24,1,10.00,3.09,多管型系列組合分離式
448,台灣三菱電機股份有限公司,MXZ-8C160NAM1-TW1-BS,5.70,1,15.50,3.97,多管型系列組合分離式
449,台灣三菱電機股份有限公司,PUHY-P350YKAT,5.04,1,40.00,12.60,幹管型系列組合分離式
450,台灣三菱電機股份有限公司,MUZ-GR35NJ,6.03,1,3.50,0.87,一對一分離式
451,台灣三菱電機股份有限公司,MUY-GR28NJ,6.22,1,2.80,0.62,一對一分離式
452,台灣三菱電機股份有限公司,MXZ-2C50NA,5.66,1,5.00,1.38,多管型系列組合分離式
453,台灣三菱電機股份有限公司,MUZ-GE25NA,7.02,1,2.50,0.57,一對一分離式
454,台灣三菱電機股份有限公司,MUY-HS35NF,6.05,1,3.50,0.95,一對一分離式
455,台灣三菱電機股份有限公司,MUY-HS28NF,6.19,1,2.80,0.63,一對一分離式
456,台灣三菱電機股份有限公司,PUHZ-ZRP125TKA,5.81,1,12.50,3.59,一對一分離式
457,台灣三菱電機股份有限公司,MXZ-8C140NAM-BS,5.74,1,14.00,3.48,多管型系列組合分離式
458,台灣三菱電機股份有限公司,MUZ-GR71NJ,5.20,1,7.20,2.12,一對一分離式
459,台灣三菱電機股份有限公司,MXZ-6C112NAM,5.84,1,11.20,2.72,多管型系列組合分離式
460,台灣三菱電機股份有限公司,PUHY-P250YKAT,5.48,1,28.00,8.35,幹管型系列組合分離式
461,台灣三菱電機股份有限公司,MUZ-GE60NA,5.51,1,6.00,1.58,一對一分離式
462,台灣三菱電機股份有限公司,PUHZ-ZRP140TKA,5.52,1,14.00,4.31,一對一分離式
463,台灣三菱電機股份有限公司,MXZ-8C160NAM,5.70,1,15.50,3.97,多管型系列組合分離式
464,台灣三菱電機股份有限公司,MXZ-6C112NAM1-TW1-BS,6.00,1,11.20,2.39,多管型系列組合分離式
465,台灣三菱電機股份有限公司,MUZ-GR50NJ,5.86,1,5.00,1.21,一對一分離式
466,台灣三菱電機股份有限公司,MUY-GE60NA,5.51,1,6.00,1.58,一對一分離式
467,台灣三菱電機股份有限公司,MUY-GR22NJ,6.77,1,2.20,0.40,一對一分離式
468,台灣三菱電機股份有限公司,MUY-GE25NA,7.02,1,2.50,0.57,一對一分離式
469,台灣三菱電機股份有限公司,MUY-GE22NA,6.46,1,2.20,0.48,一對一分離式
470,台灣三菱電機股份有限公司,MXZ-8C160NAM1-TW1,5.70,1,15.50,3.97,多管型系列組合分離式
471,台灣三菱電機股份有限公司,MXZ-8C225XAM-TW1,5.04,1,22.50,7.10,多管型系列組合分離式
472,台灣三菱電機股份有限公司,MUY-GR71NJ,5.20,1,7.20,2.12,一對一分離式
473,台灣三菱電機股份有限公司,PUHY-P300YKAT,5.26,1,33.50,10.13,幹管型系列組合分離式
474,台灣三菱電機股份有限公司,MXZ-8C160NAM-BS,5.70,1,15.50,3.97,多管型系列組合分離式
475,台灣三菱電機股份有限公司,MXZ-8C225XAM-TW1-BS,5.04,1,22.50,7.10,多管型系列組合分離式
476,台灣三菱電機股份有限公司,MUZ-FH25NA,6.72,1,2.50,0.50,一對一分離式
477,台灣三菱電機股份有限公司,MUZ-EF42NA,5.54,1,4.10,1.05,一對一分離式
478,台灣三菱電機股份有限公司,PUHY-P350YKAT-BS,5.04,1,40.00,12.60,幹管型系列組合分離式
479,台灣三菱電機股份有限公司,MUZ-GR60NJ,5.47,1,6.00,1.62,一對一分離式
480,台灣三菱電機股份有限公司,MUZ-GR42NJ,5.67,1,4.10,1.12,一對一分離式
481,台灣三菱電機股份有限公司,MUY-HS42NF,5.42,1,4.10,1.23,一對一分離式
482,台灣三菱電機股份有限公司,MUY-GR35NJ,6.03,1,3.50,0.87,一對一分離式
483,台灣三菱電機股份有限公司,MUY-GR50NJ,5.86,1,5.00,1.21,一對一分離式
484,台灣三菱電機股份有限公司,MUZ-GE22NA,6.46,1,2.20,0.48,一對一分離式
485,台灣三菱電機股份有限公司,PUHY-P200YKAT,5.73,1,22.40,5.77,幹管型系列組合分離式
486,台灣三菱電機股份有限公司,MXZ-4C80NA,5.40,1,8.00,2.11,多管型系列組合分離式
487,台灣三菱電機股份有限公司,MUZ-EF35NA,6.00,1,3.30,0.79,一對一分離式
488,台灣三菱電機股份有限公司,MUY-HS22NF,6.30,1,2.20,0.53,一對一分離式
489,台灣三菱電機股份有限公司,MXZ-8C140NAM1-TW1-BS,5.85,1,14.00,3.30,多管型系列組合分離式
490,台灣三菱電機股份有限公司,MUZ-GE71NA,5.37,1,6.60,1.80,一對一分離式
491,台灣三菱電機股份有限公司,MUZ-EF25NA,6.83,1,2.50,0.56,一對一分離式
492,台灣三菱電機股份有限公司,MUY-GR42NJ,5.67,1,4.10,1.12,一對一分離式
493,台灣三菱電機股份有限公司,MUZ-GR22NJ,6.77,1,2.20,0.40,一對一分離式
494,台灣三菱電機股份有限公司,MUY-HS50NF,5.72,1,5.00,1.33,一對一分離式
495,台灣三菱電機股份有限公司,MUZ-GR28NJ,6.22,1,2.80,0.62,一對一分離式
496,台灣三菱電機股份有限公司,PUHY-P200YKAT-BS,5.73,1,22.40,5.77,幹管型系列組合分離式
497,台灣三菱電機股份有限公司,MXZ-6C112NAM1-TW1,6.00,1,11.20,2.39,多管型系列組合分離式
498,台灣三菱電機股份有限公司,MUY-HS71NF,5.22,1,7.20,1.93,一對一分離式
499,台灣三菱電機股份有限公司,MXZ-6C112NAM-BS,5.84,1,11.20,2.72,多管型系列組合分離式
500,台灣三菱電機股份有限公司,MXZ-8C140NAM1-TW1,5.85,1,14.00,3.30,多管型系列組合分離式
501,台灣三菱電機股份有限公司,MUY-GR60NJ,5.47,1,6.00,1.62,一對一分離式
502,台灣三菱電機股份有限公司,PUHY-P300YKAT-BS,5.26,1,33.50,10.13,幹管型系列組合分離式
503,台灣日立江森自控股份有限公司,RAS-18FSNS,5.13,1,50.00,17.96,幹管型系列組合分離式
504,台灣日立江森自控股份有限公司,RAC-50NK,6.35,1,5.00,1.19,一對一分離式
505,台灣日立江森自控股份有限公司,RAM-10MND,5.45,1,28.00,8.22,幹管型系列組合分離式
506,台灣日立江森自控股份有限公司,RAM-8MS,6.09,1,22.40,5.51,幹管型系列組合分離式
507,台灣日立江森自控股份有限公司,RAC-28NR,9.60,1,2.80,0.39,一對一分離式
508,台灣日立江森自控股份有限公司,RAC-40NR,8.35,1,4.10,0.71,一對一分離式
509,台灣日立江森自控股份有限公司,RAC-40NK,6.61,1,4.10,0.90,一對一分離式
510,台灣日立江森自控股份有限公司,RAM-8MSD,6.09,1,22.40,5.51,幹管型系列組合分離式
511,台灣日立江森自控股份有限公司,RA-68QV1,4.16,1,6.80,2.21,單體式
512,台灣日立江森自控股份有限公司,RAC-25JK1,7.25,1,2.50,0.47,一對一分離式
513,台灣日立江森自控股份有限公司,RAM-140FSB,6.86,1,14.00,3.20,幹管型系列組合分離式
514,台灣日立江森自控股份有限公司,RAM-112FSQB,6.74,1,11.20,2.67,幹管型系列組合分離式
515,台灣日立江森自控股份有限公司,RAC-50HK,5.59,1,5.00,1.21,一對一分離式
516,台灣日立江森自控股份有限公司,RAC-36HK,6.03,1,3.60,0.84,一對一分離式
517,台灣日立江森自控股份有限公司,RAM-50HK,5.35,1,5.00,1.29,多管型系列組合分離式
518,台灣日立江森自控股份有限公司,RAC-63SK1,5.33,1,6.30,1.73,一對一分離式
519,台灣日立江森自控股份有限公司,RAC-90JX1,5.61,1,8.70,2.26,一對一分離式
520,台灣日立江森自控股份有限公司,RAM-8WND,6.87,1,22.40,4.11,幹管型系列組合分離式
521,台灣日立江森自控股份有限公司,RAC-28JE1,9.80,1,2.80,0.38,一對一分離式
522,台灣日立江森自控股份有限公司,RAM-86NL,5.38,1,8.40,2.51,多管型系列組合分離式
523,台灣日立江森自控股份有限公司,RAM-93NL,5.70,1,9.00,2.62,多管型系列組合分離式
524,台灣日立江森自控股份有限公司,RAM-63JL,5.65,1,6.30,1.75,多管型系列組合分離式
525,台灣日立江森自控股份有限公司,RAM-200FSQD,5.71,1,20.00,5.04,幹管型系列組合分離式
526,台灣日立江森自控股份有限公司,RA-68QV,4.16,1,6.80,2.21,單體式
527,台灣日立江森自控股份有限公司,RA-28QV1,4.83,1,2.80,0.79,單體式
528,台灣日立江森自控股份有限公司,RAM-14MS,5.56,1,40.00,13.04,幹管型系列組合分離式
529,台灣日立江森自控股份有限公司,RAC-63SK2,5.33,1,6.30,1.73,一對一分離式
530,台灣日立江森自控股份有限公司,RA-40NA,4.55,1,4.10,1.23,單體式
531,台灣日立江森自控股份有限公司,RAM-50NK,5.79,1,5.00,1.24,多管型系列組合分離式
532,台灣日立江森自控股份有限公司,RAC-40JR,8.35,1,4.10,0.71,一對一分離式
533,台灣日立江森自控股份有限公司,RAM-93JL,5.70,1,9.00,2.62,多管型系列組合分離式
